date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:26	16148/16148	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2015%20Sep%202025%2016:34:42%20GMT	https://fonts.gstatic.com/s/poppins/v24/pxiEyp8kv8JHgFVrJJfedw.ttf	C:/My%20Web%20Sites/company-profile/fonts.gstatic.com/s/poppins/v24/pxiEyp8kv8JHgFVrJJfedw.ttf	(from https://fonts.googleapis.com/css?family=Poppins:200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap)
13:51:26	16100/16100	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2015%20Sep%202025%2016:36:26%20GMT	https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLGT9Z1xlEA.ttf	C:/My%20Web%20Sites/company-profile/fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLGT9Z1xlEA.ttf	(from https://fonts.googleapis.com/css?family=Poppins:200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap)
13:51:27	16044/16044	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2015%20Sep%202025%2016:33:56%20GMT	https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLEj6Z1xlEA.ttf	C:/My%20Web%20Sites/company-profile/fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLEj6Z1xlEA.ttf	(from https://fonts.googleapis.com/css?family=Poppins:200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap)
13:51:27	15816/15816	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2015%20Sep%202025%2016:35:07%20GMT	https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLCz7Z1xlEA.ttf	C:/My%20Web%20Sites/company-profile/fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLCz7Z1xlEA.ttf	(from https://fonts.googleapis.com/css?family=Poppins:200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap)
13:51:28	15708/15708	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2015%20Sep%202025%2016:34:56%20GMT	https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLDD4Z1xlEA.ttf	C:/My%20Web%20Sites/company-profile/fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLDD4Z1xlEA.ttf	(from https://fonts.googleapis.com/css?family=Poppins:200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap)
13:51:29	15664/15664	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2015%20Sep%202025%2016:35:25%20GMT	https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLBT5Z1xlEA.ttf	C:/My%20Web%20Sites/company-profile/fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLBT5Z1xlEA.ttf	(from https://fonts.googleapis.com/css?family=Poppins:200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap)
13:51:29	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2019%20Nov%202017%2019:22:00%20GMT	https://banksyariahberkah.com/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/fontawesome-webfont3e6e.eot	(from https://banksyariahberkah.com/assets/css/font-awesome.min.css)
13:51:29	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2019%20Nov%202017%2019:22:00%20GMT	https://banksyariahberkah.com/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/fontawesome-webfontd41d.eot	(from https://banksyariahberkah.com/assets/css/font-awesome.min.css)
13:51:29	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sun,%2019%20Nov%202017%2019:22:00%20GMT	https://banksyariahberkah.com/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://banksyariahberkah.com/assets/css/font-awesome.min.css)
13:51:30	98024/98024	---M--	200	added ('OK')	font/woff	date:Sun,%2019%20Nov%202017%2019:22:00%20GMT	https://banksyariahberkah.com/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/fontawesome-webfont3e6e.woff	(from https://banksyariahberkah.com/assets/css/font-awesome.min.css)
13:51:30	165548/165548	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2019%20Nov%202017%2019:22:00%20GMT	https://banksyariahberkah.com/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://banksyariahberkah.com/assets/css/font-awesome.min.css)
13:51:30	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2019%20Nov%202017%2019:22:00%20GMT	https://banksyariahberkah.com/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/fontawesome-webfont3e6e.svg	(from https://banksyariahberkah.com/assets/css/font-awesome.min.css)
13:51:30	1194/1194	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2006:51:25%20GMT	https://banksyariahberkah.com/assets/css/fonts/icofont.woff	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/css/fonts/icofont.74.delayed	(from https://banksyariahberkah.com/assets/css/icofont.css)
13:51:31	1194/1194	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2006:51:26%20GMT	https://banksyariahberkah.com/assets/css/owl.video.play.png	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/css/owl.video.play.png	(from https://banksyariahberkah.com/assets/css/owl-carousel.css)
13:51:31	1194/1194	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2006:51:26%20GMT	https://banksyariahberkah.com/assets/img/bread-bg.jpg	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/img/bread-bg.jpg	(from https://banksyariahberkah.com/assets/css/normalize.css)
13:51:31	15642/15642	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Feb%202025%2018:37:46%20GMT	https://banksyariahberkah.com/assets/img/bg.png	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/img/bg.png	(from https://banksyariahberkah.com/assets/style.css)
13:51:32	537868/537868	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Aug%202018%2016:59:22%20GMT	https://banksyariahberkah.com/assets/fonts/icofont.woff2	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/fonts/icofont.woff2	(from https://banksyariahberkah.com/assets/css/icofont.css)
13:51:32	1194/1194	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2006:51:27%20GMT	https://banksyariahberkah.com/assets/img/video-bg.jpg	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/img/video-bg.jpg	(from https://banksyariahberkah.com/assets/style.css)
13:51:32	1194/1194	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2006:51:27%20GMT	https://banksyariahberkah.com/assets/img/signup-bg.jpg	C:/My%20Web%20Sites/company-profile/banksyariahberkah.com/assets/img/signup-bg.jpg	(from https://banksyariahberkah.com/assets/style.css)
